Dist_N,Dist_E,Dist_D,PowerRx,XZ,YZ,MAG
-0.46509999999999996,-0.7826000000000001,-0.2602,-60.20991187636942,357.196,233.13,110.832
-0.42729999999999996,-0.7171,-0.3978,-60.09514272368123,357.047,298.301,110.906
-0.374,-0.6336999999999999,-0.5472,-59.940988091350775,359.767,352.875,109.015
-0.33240000000000003,-0.5623,-0.6801999999999999,-59.91919160458763,0.469627,7.12502,105.921
-0.2998,-0.5272,-0.782,-59.74670868230269,0.687516,10.008,105.333
-0.2998,-0.5272,-0.782,-59.950311520494964,0.687516,10.008,105.333
-0.2707,-0.5013000000000001,-0.8895000000000001,-59.95894087845051,2.98863,52.4314,101.479
-0.2144,-0.4939,-0.9629000000000001,-59.90581573544527,4.43447,90.0,97.0842
-0.1882,-0.5347999999999999,-0.9765999999999999,-59.92493346224319,4.66686,124.992,95.6783
-0.1754,-0.5687,-1.0423,-59.58052881669956,2.74809,129.806,95.1078
-0.17059999999999997,-0.6128,-1.0561,-59.66926164656365,4.56435,122.276,91.8779
-0.18030000000000002,-0.6647,-1.0559,-60.124758555296005,3.66194,142.696,89.7039
-0.20129999999999998,-0.6977,-1.1009,-59.79950499277965,1.21371,140.194,88.7078
-0.20129999999999998,-0.6977,-1.1009,-59.71456710275934,1.21371,140.194,88.7078
-0.24359999999999998,-0.7631,-1.1077,-59.800014199600724,355.982,247.62,90.1397
-0.2657,-0.7726000000000001,-1.1925,-59.95720006777985,358.693,315.0,90.9687
-0.2296,-0.7592,-1.2470999999999999,-59.81273632539696,350.38,254.624,90.5329
-0.2722,-0.7453,-1.382,-59.708218765461794,351.581,254.876,90.6525
-0.28,-0.7115,-1.4556,-59.821778392661045,357.728,281.31,90.3889
-0.2325,-0.6453,-1.5019999999999998,-59.81307653023186,355.179,264.56,91.1534
-0.2325,-0.6453,-1.5019999999999998,-59.88622383692983,355.179,264.56,90.3845
-0.2151,-0.6017,-1.5697,-59.76059284446552,357.774,275.194,90.3828
-0.21100000000000002,-0.5943,-1.5937999999999999,-59.76168635838136,355.371,211.218,89.1205
-0.228,-0.6074,-1.6303,-59.73050157527962,6.85153,112.751,88.5903
-0.2352,-0.6045,-1.6017,-59.62797559300617,345.465,271.818,93.076
-0.2695,-0.6154,-1.5859,-59.73607349008298,354.951,270.0,92.9179
-0.27399999999999997,-0.6188,-1.5997,-59.933016560931705,329.744,268.932,94.6083
-0.2963,-0.633,-1.6116,-59.642412526807064,307.677,267.148,96.9158
-0.3014,-0.6428,-1.5986000000000002,-59.835886309065096,358.389,343.301,94.7778
-0.26289999999999997,-0.5859000000000001,-1.6157,-59.832730625744965,324.162,274.033,96.4387
-0.2511,-0.605,-1.608,-59.66599581646895,342.01,266.099,96.8882
-0.2511,-0.605,-1.608,-59.81547054046472,342.01,266.099,96.8882
-0.28800000000000003,-0.6424,-1.5948,-59.70375196644046,349.587,267.337,97.6082
-0.3185,-0.6455,-1.5932,-59.802202582502076,357.709,304.992,96.7938
-0.3063,-0.6376,-1.5761,-59.61844106087776,340.071,267.23,94.5978
-0.2817,-0.6470999999999999,-1.5726,-59.67915644055942,353.758,272.045,95.2308
-0.2692,-0.6759999999999999,-1.5674000000000001,-59.49922694589755,357.295,292.62,95.3191
-0.2636,-0.6981999999999999,-1.5521,-59.866662168130176,357.184,292.62,96.4968
-0.273,-0.7061,-1.538,-59.663408907427524,355.865,291.25,95.6703
-0.28300000000000003,-0.7014,-1.5271000000000001,-59.74506019274326,354.289,279.09,96.2294
